method,date,portfolio_value,daily_returns,turnover,weight_spy,weight_cash,reward,drawdown,lambda_rrc,vix_zscore_t,nav_after_cost
ppo_hybrid_regime_aware_policy,2021-08-13,13589.00089396979,0.00045042270405337703,0.0,1.0,0.0,0.00045032129419760524,0.012745421608419977,0.015502620345718688,-1.3798951861712525,13582.882855145333
ppo_hybrid_regime_aware_policy,2021-08-16,13634.12011754148,0.0033202752670149493,0.0,1.0,0.0,0.0033147753239446773,0.00946746464953916,0.01504562491337948,-1.3981750034648208,13589.00089396979
ppo_hybrid_regime_aware_policy,2021-08-17,13529.350307155502,-0.007684383699332553,0.0,1.0,0.0,-0.007856842323879695,0.017079096717844834,0.01875834460757831,-1.2496662156968676,13634.12011754148
ppo_hybrid_regime_aware_policy,2021-08-18,13387.491855534263,-0.010485237531783986,0.0,1.0,0.0,-0.010830845939115041,0.027385255863713865,0.028162868743487834,-0.8734852502604865,13529.350307155502
ppo_hybrid_regime_aware_policy,2021-08-19,13363.020867133035,-0.001827899405302924,0.0,1.0,0.0,-0.001913401491173238,0.02916309777610939,0.04715235846926156,-0.1139056612295378,13387.491855534263
ppo_hybrid_regime_aware_policy,2021-08-20,13427.258524444926,0.00480712093100788,0.0,1.0,0.0,0.004795603620506659,0.02449616738283403,0.04768915402308202,-0.0924338390767193,13363.020867133035
ppo_hybrid_regime_aware_policy,2021-08-23,13514.821277706087,0.006521268142841707,0.0,1.0,0.0,0.006500096667146295,0.01813464531596778,0.03165692384998461,-0.7337230460006157,13427.258524444926
ppo_hybrid_regime_aware_policy,2021-08-24,13512.620931639573,-0.0001628098530718214,0.54,0.46020371584628816,0.5397962841537118,-0.003568741497914338,0.018294502670100153,0.02451178990758987,-1.0195284036964052,13507.523274216126
ppo_hybrid_regime_aware_policy,2021-08-25,13520.349759077057,0.0005719710096645514,0.00020371584628814388,0.4603087977284273,0.5396912022715727,-0.0020204980771759756,0.017732995585599137,0.02502918051683676,-0.9988327793265296,13512.618178904564
ppo_hybrid_regime_aware_policy,2021-08-26,13435.98416934125,-0.006239896987810245,0.5396912022715727,1.0,0.0,-0.00720983202986448,0.02386224050766994,0.022979782358250024,-1.080808705669999,13513.052945260448
ppo_hybrid_regime_aware_policy,2021-08-27,13527.933200223317,0.006843490564083732,0.0,1.0,0.0,0.006820180171736926,0.017182050961338294,0.033640519803701634,-0.6543792078519346,13435.98416934125
ppo_hybrid_regime_aware_policy,2021-08-30,13509.237405705415,-0.00138201410675165,0.0,1.0,0.0,-0.0014118434127892458,0.018540319231278402,0.021257541240342417,-1.1496983503863034,13527.933200223317
ppo_hybrid_regime_aware_policy,2021-08-31,13503.1339396244,-0.000451799453789814,0.0,1.0,0.0,-0.00046096893026710165,0.018983742178966437,0.02044861322597993,-1.1820554709608029,13509.237405705415
ppo_hybrid_regime_aware_policy,2021-09-01,13489.016326836858,-0.0010455063876775306,0.0,1.0,0.0,-0.0010687804115872082,0.02000940094293382,0.02215854011475169,-1.1136583954099324,13503.1339396244
ppo_hybrid_regime_aware_policy,2021-09-02,13539.37865454922,0.0037335804548004337,0.0,1.0,0.0,0.0037266279430952496,0.01635052719640616,0.020506844994370235,-1.1797262002251907,13489.016326836858
ppo_hybrid_regime_aware_policy,2021-09-03,13511.527660909795,-0.0020570363197626174,0.0,1.0,0.0,-0.0021042029317808724,0.01837392988787845,0.02226349067047312,-1.1094603731810753,13539.37865454922
ppo_hybrid_regime_aware_policy,2021-09-07,13408.51391461989,-0.007624137616054516,0.0,1.0,0.0,-0.00782068575821453,0.025857982133920068,0.022358987567693524,-1.105640497292259,13511.527660909795
ppo_hybrid_regime_aware_policy,2021-09-08,13381.425563155792,-0.0020202351756941628,0.0,1.0,0.0,-0.0020841288542421117,0.027825978104534767,0.03142803734802457,-0.742878506079017,13408.51391461989
ppo_hybrid_regime_aware_policy,2021-09-09,13351.738563599083,-0.0022185229381276317,0.6,0.39902672700866715,0.6009732729913329,-0.006387066304317582,0.029982768471961647,0.03063756189113926,-0.7744975243544296,13373.396707817898
ppo_hybrid_regime_aware_policy,2021-09-10,13311.820832637455,-0.0029897028594055852,0.0009732729913328741,0.3982013849235143,0.6017986150764857,-0.00629765129464647,0.03288283176273371,0.03517524490584414,-0.5929902037662343,13351.725568712553
ppo_hybrid_regime_aware_policy,2021-09-13,13351.728064528806,0.002997879282863325,0.00179861507648571,0.4017944272624493,0.5982055727375507,-0.00020930331906617348,0.029983531239973833,0.0466057717739663,-0.1357691290413482,13311.79688979581
ppo_hybrid_regime_aware_policy,2021-09-14,13308.434544235844,-0.0032425405972713595,0.0017944272624492719,0.398049226836817,0.601950773163183,-0.006571315838282903,0.03312884901995003,0.038411118366842904,-0.4635552653262839,13351.704105823967
ppo_hybrid_regime_aware_policy,2021-09-15,13344.515421517293,0.0027111285825180964,0.0019507731631830394,0.4016234462419001,0.5983765537580998,-0.0004954660573371424,0.030507537006915848,0.03900663998018449,-0.4397344007926204,13308.408582498892
ppo_hybrid_regime_aware_policy,2021-09-16,13334.699971161492,-0.0007355419095979032,0.001623446241900084,0.39955932478689865,0.6004406752131013,-0.003961341465304943,0.03122063934448657,0.03238489268056606,-0.7046042927773577,13344.493757413882
ppo_hybrid_regime_aware_policy,2021-09-17,13295.783381218827,-0.002918445111388168,0.00044067521310137137,0.3982440727610284,0.6017559272389716,-0.006222953488969602,0.03404796873360542,0.03522065743506919,-0.5911737025972323,13334.69409488974
ppo_hybrid_regime_aware_policy,2021-09-20,13199.745898679133,-0.007223153370214619,0.0017559272389716107,0.39563563707141824,0.6043643629285818,-0.010776866644569167,0.0410251884037129,0.046560968685288334,-0.1375612525884669,13295.760034790625
ppo_hybrid_regime_aware_policy,2021-09-21,13195.050001737345,-0.00035575661666775726,0.1217974126604075,0.2736682717182184,0.7263317282817816,-0.003358376648257534,0.041366350038156,0.07257631892392194,0.9030527569568776,13198.1382037809
ppo_hybrid_regime_aware_policy,2021-09-22,13238.008222376726,0.0032556315158884797,0.057800119700238684,0.33367633694268806,0.6663236630573119,0.0009662173521455858,0.038245392115149004,0.06552544140739051,0.6210176562956203,13194.287326267795
ppo_hybrid_regime_aware_policy,2021-09-23,13315.35486759436,0.005842770597988656,0.06632366305731197,0.40352486159891543,0.5964751384010846,0.002526282316049753,0.032626080569719315,0.04706395053265763,-0.1174419786936952,13237.130229179835
ppo_hybrid_regime_aware_policy,2021-09-24,13320.058436874024,0.00035324400486769214,0.0035248615989154075,0.4002139857307035,0.5997860142692966,-0.0028521056635053086,0.032284361532215214,0.03525920282040532,-0.5896318871837872,13315.30793281131
ppo_hybrid_regime_aware_policy,2021-09-27,13331.38937355379,0.0008506671898975693,0.00021398573070346982,0.40051009478448,0.59948990521552,-0.002350015400972537,0.03146115758941998,0.030704776546989457,-0.771808938120422,13320.055586571587
ppo_hybrid_regime_aware_policy,2021-09-28,13244.345258534247,-0.006529260572961437,0.0005100947844799975,0.39605700487045525,0.6039429951295447,-0.009980832752587024,0.03778500006655311,0.03627512485045963,-0.5489950059816147,13331.3825732816
ppo_hybrid_regime_aware_policy,2021-09-29,13257.424174945027,0.0009875094733242662,0.0039429951295447685,0.40059428461938085,0.5994057153806192,-0.002218892286089388,0.036834803638744175,0.06054665794884598,0.421866317953839,13244.293036145398
ppo_hybrid_regime_aware_policy,2021-09-30,13172.882585127685,-0.0063769242578143315,0.0005942846193808249,0.3961496486169474,0.6038503513830527,-0.009947819941827408,0.0429768351437028,0.056916806795580144,0.2766722718232056,13257.416296261747
ppo_hybrid_regime_aware_policy,2021-10-01,13246.56121858895,0.0055932050547879975,0.00861159701172276,0.3909498681567542,0.6090501318432457,0.002560988941292574,0.037624008340479395,0.060144534788629356,0.405781391545174,13172.76914557138
ppo_hybrid_regime_aware_policy,2021-10-04,13197.497931360664,-0.0037038508650407698,0.009050131843245823,0.3977748780401858,0.6022251219598143,-0.0070996948518180746,0.041188505489681955,0.049205411523656005,-0.03178353905376,13246.44133546345
ppo_hybrid_regime_aware_policy,2021-10-05,13245.909536231278,0.0036682411410404736,0.0022251219598142247,0.402194230790143,0.5978057692098571,0.00045819186970862504,0.037671353719016636,0.05944945896778714,0.3779783587114854,13197.468565318202
ppo_hybrid_regime_aware_policy,2021-10-06,13261.167146816771,0.0011518733797599712,0.0021942307901429703,0.4006916438801563,0.5993083561198437,-0.00205208086356653,0.036562872968785146,0.05054108966149027,0.0216435864596108,13245.88047164873
ppo_hybrid_regime_aware_policy,2021-10-07,13315.263280699794,0.004079289046289292,0.0006916438801563007,0.4024380429322736,0.5975619570677264,0.0008699538391764798,0.03263273444969822,0.04907586910978121,-0.0369652356087516,13261.157974811671
ppo_hybrid_regime_aware_policy,2021-10-08,13313.698608750887,-0.00011750965158718873,0.0024380429322735653,0.39993094892063874,0.6000690510793613,-0.003325853900304638,0.03274640944002989,0.04117246463227003,-0.3531014147091992,13315.23081751626
ppo_hybrid_regime_aware_policy,2021-10-11,13267.964744781877,-0.0034350983384098255,0.06006905107936128,0.4581712020841597,0.5418287979158403,-0.006246207185442429,0.036069020641783404,0.037046698052725514,-0.5181320778909795,13312.898867509102
ppo_hybrid_regime_aware_policy,2021-10-12,13246.710329580168,-0.0016019348566680414,0.0018287979158403411,0.45913455634391453,0.5408654436560855,-0.004265868034380493,0.03761317527703951,0.043975849118189976,-0.2409660352724011,13267.940480355604
ppo_hybrid_regime_aware_policy,2021-10-13,13248.648890498816,0.00014634281798397986,0.000865443656085485,0.460079480829837,0.539920519170163,-0.002446966054565748,0.037472336877118886,0.04324764750611062,-0.2700940997555754,13246.69886529875
ppo_hybrid_regime_aware_policy,2021-10-14,13341.510322209318,0.0070091246645609395,7.948082983699756e-05,0.4637586255633699,0.5362413744366301,0.004392555710037309,0.03072586049320218,0.03665111312276417,-0.5339554750894331,13248.647837485209
ppo_hybrid_regime_aware_policy,2021-10-15,13476.43441888351,0.010113105144444301,0.5362413744366301,1.0,0.0,0.009257947813157476,0.02092348920657923,0.02690861450429365,-0.9236554198282542,13334.356052377076
ppo_hybrid_regime_aware_policy,2021-10-18,13463.066601911292,-0.0009919401940238215,0.0,1.0,0.0,-0.001015723478634634,0.02189467455065985,0.023982020010874662,-1.0407191995650136,13476.43441888351
ppo_hybrid_regime_aware_policy,2021-10-19,13537.924745170565,0.0055602594470300915,0.0,1.0,0.0,0.0055448582677978635,0.016456155174639702,0.02423143678293065,-1.030742528682774,13463.066601911292
ppo_hybrid_regime_aware_policy,2021-10-20,13597.888186791688,0.004429293466305717,0.0,1.0,0.0,0.004419513015689553,0.012099750848929497,0.020991904258402968,-1.1603238296638814,13537.924745170565
ppo_hybrid_regime_aware_policy,2021-10-21,13595.214390285082,-0.0001966332175905583,0.0,1.0,0.0,-0.00020053500517865292,0.012294004853578615,0.01998647466421105,-1.200541013431558,13597.888186791688
ppo_hybrid_regime_aware_policy,2021-10-22,13625.004959122198,0.002191254067931636,0.0,1.0,0.0,0.002188856772153861,0.0101296900737935,0.017484599195970087,-1.3006160321611966,13595.214390285082
ppo_hybrid_regime_aware_policy,2021-10-25,13655.941274239172,0.0022705544115242393,0.0,1.0,0.0,0.0022679805981090494,0.007882135674753682,0.02006905040996213,-1.1972379836015148,13625.004959122198
ppo_hybrid_regime_aware_policy,2021-10-26,13654.032085626348,-0.00013980644574285161,0.0,1.0,0.0,-0.00014248081411210537,0.00802084014712298,0.01921058846646222,-1.2315764613415112,13655.941274239172
ppo_hybrid_regime_aware_policy,2021-10-27,13557.785901435853,-0.007048920317963336,0.0,1.0,0.0,-0.007237991616312907,0.015013222202006142,0.023469869110294556,-1.0612052355882178,13654.032085626348
ppo_hybrid_regime_aware_policy,2021-10-28,13646.39300005342,0.006535513929909698,0.0,1.0,0.0,0.006514250055361763,0.008575827394930487,0.029275988970355705,-0.8289604411857717,13557.785901435853
ppo_hybrid_regime_aware_policy,2021-10-29,13681.91346585064,0.0026029197456851616,0.0,1.0,0.0,0.0025995380170582842,0.0059952298397071635,0.026192933955969278,-0.952282641761229,13646.39300005342
ppo_hybrid_regime_aware_policy,2021-11-01,13716.287019807185,0.0025123352842670865,0.0,1.0,0.0,0.0025091846458468645,0.003497956582903635,0.024189219331822245,-1.0324312267271103,13681.91346585064
ppo_hybrid_regime_aware_policy,2021-11-02,13771.285172361988,0.004009696827966813,0.0,1.0,0.0,0.004001679418083455,0.0,0.024700154412476125,-1.0119938235009551,13716.287019807185
